ID,Name,Title,Costume,Museum,Element,Rarity,Origin,Family,Release date,Class,Mana Speed,Special Skill,Passive #1,Passive #2,Passive #3,Passive #4,Passive #5,Passive #CB1,Passive #CB2,Passive #CB3,Passive #CB4,Passive #CB5,AetherPower,Max level: Attack,Max level: Defense,Max level: Health,Max level: Power,Limit Break #1: Attack,Limit Break #1: Defense,Limit Break #1: Health,Limit Break #1: Power,Limit Break #2: Attack,Limit Break #2: Defense,Limit Break #2: Health,Limit Break #2: Power,Mana Bonus CB1,Max level CB1: Attack,Max level CB1: Defense,Max level CB1: Health,Max level CB1: Power,Limit Break CB1 #1: Attack,Limit Break CB1 #1: Defense,Limit Break CB1 #1: Health,Limit Break CB1 #1: Power,Limit Break CB1 #2: Attack,Limit Break CB1 #2: Defense,Limit Break CB1 #2: Health,Limit Break CB1 #2: Power,Mana Bonus CB2,Max level CB2: Attack,Max level CB2: Defense,Max level CB2: Health,Max level CB2: Power,Limit Break CB2 #1: Attack,Limit Break CB2 #1: Defense,Limit Break CB2 #1: Health,Limit Break CB2 #1: Power,Limit Break CB2 #2: Attack,Limit Break CB2 #2: Defense,Limit Break CB2 #2: Health,Limit Break CB2 #2: Power,Mana Bonus CB3,Max level CB3: Attack,Max level CB3: Defense,Max level CB3: Health,Max level CB3: Power,Limit Break CB3 #1: Attack,Limit Break CB3 #1: Defense,Limit Break CB3 #1: Health,Limit Break CB3 #1: Power,Limit Break CB3 #2: Attack,Limit Break CB3 #2: Defense,Limit Break CB3 #2: Health,Limit Break CB3 #2: Power,Mana Bonus CB4,Max level CB4: Attack,Max level CB4: Defense,Max level CB4: Health,Max level CB4: Power,Limit Break CB4 #1: Attack,Limit Break CB4 #1: Defense,Limit Break CB4 #1: Health,Limit Break CB4 #1: Power,Limit Break CB4 #2: Attack,Limit Break CB4 #2: Defense,Limit Break CB4 #2: Health,Limit Break CB4 #2: Power,parentHeroId,costumeBonusesId,CB1検索キー,CB2検索キー,CB3検索キー,CB4検索キー,CB1 Atk,CB1 Def,CB1 HP,CB1 Mana,CB2 Atk,CB2 Def,CB2 HP,CB2 Mana,CB3 Atk,CB3 Def,CB3 HP,CB3 Mana,CB4 Atk,CB4 Def,CB4 HP,CB4 Mana
fire_god_zidane,Zidane,Charming Privateer,,576,Red,5,MonthlyHeroOctober2024,hotm2024,2024-10-01,Ranger,Very Fast,trick_of_the_trade,resist_buff_immunity,increased_attack_per_enemies_not_red_zidane,,,,,,,,,Gamble,1135,972,1650,1025,1223,1047,1778,1095,1399,1198,2034,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fire_god_zidane,,,,,,,,,,,,,,,,,,,,,
nomad_female_lord_costume_flame,Elena C,Captain of Fire,C1,808,Red,5,Season1,classic,2020-01-01,Rogue,Slow,sword_barricade,,,,,,,,,,,Damage Reduction,805,560,1359,753,868,603,1465,802,993,690,1676,900,5%,909,632,1630,848,980,681,1758,904,1122,779,2011,1017,5%,1038,722,1956,964,1119,777,2109,1029,1280,890,2413,1160,5%,1247,868,2310,1127,1345,934,2490,1205,1539,1069,2849,1361,5%,1408,980,2419,1230,1519,1055,2607,1317,1737,1207,2983,1488,nomad_female_lord,classic,classic_C1_5,classic_C2_5,classic_C3_5,classic_C4_5,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,75%,75%,78%,5%
orc_gladiator_costume_chef,Boldtusk C,Cast Iron Chef,C1,1240,Red,4,Season1,classic,2020-01-01,Monk,Average,war_feast,,,,,,,,,,,Counter[-]attack,592,701,1119,645,644,761,1216,693,746,883,1410,790,5%,633,750,1242,690,689,814,1349,742,798,944,1565,847,5%,680,806,1342,736,740,875,1459,793,857,1015,1692,906,5%,692,820,1365,747,753,890,1483,805,872,1033,1720,920,5%,704,834,1387,759,766,905,1507,817,887,1050,1748,934,orc_gladiator,classic,classic_C1_4,classic_C2_4,classic_C3_4,classic_C4_4,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,19%,19%,24%,5%
oriental_female_mystic_costume_magician,Vivica C,Magician Supreme,C1,814,Yellow,5,Season1,classic,2020-01-01,Sorcerer,Slow,omnicure,,,,,,,,,,,Special Armor,706,700,1341,755,761,754,1445,804,871,863,1653,902,5%,797,791,1609,850,859,852,1734,906,984,975,1983,1020,5%,910,903,1931,966,981,972,2080,1031,1123,1113,2380,1162,5%,1094,1085,2279,1130,1179,1168,2456,1208,1350,1337,2810,1365,5%,1235,1225,2386,1234,1331,1319,2572,1320,1524,1510,2942,1493,oriental_female_mystic,classic,classic_C1_5,classic_C2_5,classic_C3_5,classic_C4_5,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,75%,75%,78%,5%
blackguard_commander_costume_metal,Tiburtus C,Duke of Rock,C1,1245,Purple,4,Season1,classic,2020-01-01,Paladin,Average,symphonic_pulverizer,,,,,,,,,,,Rage,656,643,1037,639,713,699,1126,687,827,811,1306,784,5%,701,688,1151,684,762,747,1249,735,884,867,1449,840,5%,754,739,1244,729,819,803,1351,785,951,932,1567,898,5%,767,752,1265,741,834,817,1373,797,967,948,1593,911,,,,,,,,,,,,,,blackguard_commander,classic,classic_C1_4,classic_C2_4,classic_C3_4,,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
nordic_male_lord_costume_senior,Richard C,Axe of Justice,C1,812,Blue,5,Season1,classic,2020-01-01,Barbarian,Average,cloud_axe,,,,,,,,,,,Special Boost,650,821,1238,755,701,885,1334,804,802,1013,1526,902,5%,734,927,1485,849,792,1000,1600,906,906,1144,1831,1018,5%,838,1059,1782,964,904,1141,1920,1029,1034,1306,2197,1160,5%,1007,1272,2104,1128,1086,1371,2267,1206,1243,1570,2594,1362,5%,1137,1436,2203,1233,1226,1548,2374,1319,1403,1772,2716,1492,nordic_male_lord,classic,classic_C1_5,classic_C2_5,classic_C3_5,classic_C4_5,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,75%,75%,78%,5%
oriental_enchanted_monk_costume_tiger,Joon C,Fury of the Sun,C1,813,Yellow,5,Season1,classic,2020-01-01,Fighter,Fast,solar_strike,,,,,,,,,,,Damage Reduction,745,646,1332,753,803,697,1436,802,919,797,1643,899,5%,841,729,1598,847,907,787,1723,904,1038,900,1971,1016,5%,961,833,1918,963,1035,899,2067,1028,1185,1028,2365,1158,5%,1154,1001,2264,1126,1244,1080,2441,1204,1424,1235,2793,1360,5%,1303,1130,2370,1229,1405,1219,2556,1315,1608,1394,2924,1487,oriental_enchanted_monk,classic,classic_C1_5,classic_C2_5,classic_C3_5,classic_C4_5,13%,13%,20%,5%,29%,29%,44%,5%,55%,55%,70%,5%,75%,75%,78%,5%
royal_knight_costume_blacksmith,Gunnar C,Brave Blacksmith,C1,1507,Blue,3,Season1,classic,2020-01-01,Druid,Slow,shadow_link,,,,,,,,,,,Defense Up,396,519,663,441,449,589,752,492,554,727,929,592,5%,423,555,729,470,480,630,827,525,592,777,1021,632,5%,455,596,795,502,516,677,902,561,637,836,1114,677,,,,,,,,,,,,,,,,,,,,,,,,,,,royal_knight,classic,classic_C1_3,classic_C2_3,,,7%,7%,10%,5%,15%,15%,20%,5%,,,,,,,,
oriental_brawler_costume_egypt,Bane C,Noble Brawler,C1,1508,Yellow,3,Season1,classic,2020-01-01,Ranger,Fast,harmonic_bash,,,,,,,,,,,Special Boost,504,403,620,441,571,457,703,491,705,564,868,591,5%,539,431,682,469,610,488,773,523,754,603,954,631,5%,579,463,744,501,656,525,843,559,810,648,1041,675,5%,589,471,756,508,668,534,857,568,824,659,1058,686,,,,,,,,,,,,,,oriental_brawler,classic,classic_C1_3,classic_C2_3,classic_C3_3,,7%,7%,10%,5%,15%,15%,20%,5%,17%,17%,22%,5%,,,,
forest_mage_costume_white,Melendor C,Mighty Wizard,C1,1241,Green,4,Season1,classic,2020-01-01,Wizard,Average,fog_of_the_perished,,,,,,,,,,,Special Armor,665,624,1047,639,722,678,1138,686,837,787,1319,782,5%,711,667,1162,683,772,725,1263,735,895,842,1464,838,5%,764,717,1256,729,830,779,1365,784,962,905,1582,896,5%,778,730,1277,740,844,793,1388,796,979,920,1609,910,5%,791,742,1298,751,859,806,1411,808,996,936,1635,924,forest_mage,classic,classic_C1_4,classic_C2_4,classic_C3_4,classic_C4_4,7%,7%,11%,5%,15%,15%,20%,5%,17%,17%,22%,5%,19%,19%,24%,5%
