KEY,TEXT
account_deletion.cancel_request.button,Cancel Deletion
account_deletion.dialog.cancel_request.message,Are you sure you want to [#ff362e]cancel[#] the account deletion process?
account_deletion.dialog.cancel_request.title,Cancel Deletion
account_deletion.dialog.cancelled.message,The account deletion process has been cancelled.
account_deletion.dialog.cancelled.title,Deletion Cancelled
account_deletion.dialog.final_confirmation.player_name_and_id,"Player name: {0}
Account identifier: {1}"
account_deletion.dialog.final_confirmation.region,"You are currently located in: {0}

We will process your request in accordance with local laws. If this location is incorrect, please choose the correct one from the list below:"
account_deletion.dialog.final_confirmation.region_unknown,We will process your request in accordance with local laws. Please choose your location from the list below:
account_deletion.dialog.final_confirmation.remember_id,Please take note of the account identifier shown above if you ever need to get back to us regarding the account deletion.
account_deletion.dialog.final_confirmation.title,Account Deletion
account_deletion.dialog.give_reason.message,Please tell us why you want to delete your account.
account_deletion.dialog.give_reason.title,Reason for Deletion
account_deletion.dialog.in_progress.message,"We have received your request and will process it shortly.

Game: Empires & Puzzles
Account Identifier: {0}

You will be able to cancel this deletion request for up to 7 days."
account_deletion.dialog.in_progress.title,Account Deletion Pending
account_deletion.dialog.restart_game.message,"The Empire you're building is intended to grow with you, and the game is implemented so that [#!]there is no true benefit in resetting your progress[#]. Empires & Puzzles has been designed to be played with one account only. You will find more useful Heroes and items when playing the game further.

[#!]Please note that it is not possible to build anything ""wrong"" in the game[#]. You will end up with all the possible buildings as the game progresses."
account_deletion.dialog.restart_game.title,Restart The Game
account_deletion.dialog.start_process.message,"Upon submitting your deletion request, your game account and gameplay will be [#!]immediately suspended[#]. Once your deletion request has been completed, [#!]we cannot reverse it[#].

[#!]All your game progress will be lost[#], including any virtual currency or items that you've earned or purchased. We will no longer be able to assist you with refunds or other pending Support requests related to this game.

If you wish to block payments on your existing account or suspend play on your account, instead of deleting it, contact Player Support.

Please note that deleting this game account will not cancel active subscriptions. [#!]Subscriptions must be canceled through the subscription provider[#] (Apple, Google, etc.).

Deleting your account does not prohibit you from creating a new account and starting fresh in the game."
account_deletion.dialog.start_process.title,"Before Deleting This Game Account, Please Consider the Following"
account_deletion.reason_option.bugs_issues,Too many bugs/issues
account_deletion.reason_option.disagree_with_policy,Disagree with terms/privacy policy
account_deletion.reason_option.harassment_abuse,Harassment/abuse concerns
account_deletion.reason_option.no_longer_play,No longer play the game
account_deletion.reason_option.other,Other
account_deletion.reason_option.restart_game,I want to restart the game
account_deletion.reason_option.select_reason,[Select reason]
account_deletion.region_dropdown.other,Other (Not Listed)
account_deletion.region_dropdown.select_region,[Select region]
account_deletion.terms_checkbox,"I want to delete this game account. I understand that I will lose all game progress and accumulated virtual items in this game and that once my deletion request has been completed, it cannot be undone."
accountswitch.cloud,Cloud
accountswitch.current,Current
accountswitch.keep,Keep
accountswitch.message,"You can choose to keep either progress, or cancel if you want to decide later."
accountswitch.replace_cloud,Keep only this
accountswitch.replace_cloud.info,"If you are sure you want to replace the cloud account with the current account, confirm the linking."
accountswitch.replace_cloud.title,Replace cloud account
accountswitch.replace_current.info,"If you are sure you want to replace the current account with the cloud account, confirm the linking."
accountswitch.replace_current.title,Replace current account
accountswitch.stronghold,Stronghold lvl
accountswitch.switch,Load
accountswitch.title,Choose account
accountswitch.trophies,Trophies
accountswitch.xp,XP Level
ads.disabled.popup.description,Ads are not available in this build. You will still receive rewards.
ads.disabled.popup.title,No Ad Available
advanced_buildings.title#1,New Advanced Building unlocked
advanced_buildings.title#2,New Advanced Buildings unlocked
advanced_buildings.title#3,New Advanced Buildings unlocked (THIRD FORM)
aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies,"At the start of each battle, this Hero gets {ATTACK}% attack for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerberserk.single.allies,"At the start of each battle, this Hero gets {ATTACK}% attack, and a further {CHANGE}% increase every time they are hit during {TURNS} turns, up to {MAXMODIFIER}% attack.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies,"At the start of each battle, this Hero gets {DEFENSE}% defense, and a further {CHANGE}% increase every time they are hit during {TURNS} turns, up to {MAXMODIFIER}% defense.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies,"At the start of each battle, this Hero gets {MULTIPLIER}% reduction to damage received from status ailments for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies,"At the start of each battle, this Hero gets {DEFENSE}% defense for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff,"At the start of each battle, this Hero's status ailments are cleansed at the end of each turn for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies,"At the start of each battle, this Hero regenerates {TOTAL} boosted health over {TURNS} turns. Boosted health can exceed max HP.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.single.allies,"At the start of each battle, this Hero regenerates {TOTAL} health over {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerfixedmanarecovery.small.single.allies,"At the start of each battle, this Hero receives a small amount of mana over {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowergamble.single.allies,"At the start of each battle, this Hero gets {ATTACK}% attack with {ACCURACY}% accuracy for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerhealmultiplier.single.allies,"At the start of each battle, this Hero gets {HEALING}% increase for any healing received for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerlifesteal.single.allies,"At the start of each battle, this Hero heals {LIFESTEAL}% of dealt normal damage for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowermanagenerationmodifier.single.allies,"At the start of each battle, this Hero gets {MANAREGEN}% mana generation for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowermummyreincarnation.single.allies,"If this Hero is defeated during the first 5 turns of a battle, they revive as a Mummy with {ATTACK}% attack and {DEFENSE}% defense.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerreceiveddamagemodifier.single.allies.decrease,"At the start of each battle, all damage received by this Hero is reduced by [#!]{DAMAGEREDUCTION}%[#] for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerreflectminordebuffstorandomenemy.single.allies,"At the start of each battle, this Hero reflects cleansable status ailments they would receive to a random character on the opposing team for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerspecialdamagepowermodifier.single.allies,"At the start of each battle, this Hero's Special Skill deals an additional {POWER}% damage for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.aetherpowerspecialskilldefensemodifier.single.allies,"At the start of each battle, this Hero gets {SPECIALSKILLDEFENSE}% defense against Special Skills for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.block.single.allies,"At the start of each battle, this Hero has a {BLOCKCHANCE}% chance to drop any received damage to 1 for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.counterattack.single.allies,"At the start of each battle, this Hero counterattacks with {DEFLECTION}% of the damage received for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.debuffshield.single.allies,"At the start of each battle, this Hero is immune to new status ailments for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.dodgespecialdamage.single.allies,"At the start of each battle, this Hero gets {DODGE}% chance to dodge Special Skills that deal damage for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.reflectdebuffdamage.single.allies.targets.all,"At the start of each battle, this Hero reflects {DEFLECTION}% of the damage received from their status ailments to all enemies for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.reflectminordebuffs.single.allies.randomenemy,"At the start of each battle, this Hero reflects cleansable status ailments they would receive to a random character on the opposing team for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.resistnewparasites.single.allies,"At the start of each battle, this Hero is immune to new Fiends for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.revive.aetherrevive.single.allies,"If this Hero is defeated during the first {TURNS} turns of a battle, they are resurrected in the beginning of their next turn with {HEALTH}% health. All status effects and stacks are removed when the Hero is defeated.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
aetherpower.statuseffect.minor.taunt.single.allies,"At the start of each battle, this Hero gets Taunt that prevents enemies from using Special Skills on the Hero's allies for {TURNS} turns.

In battles with multiple waves, the effect is refreshed at the beginning of each wave."
alchemy.surplusremoval.body,Alchemy Lab is now capped to 100 transmutations per recipe.  All transmutations above the limit have been removed from the queue and the ingredients used for them are attached in this message.
alchemy.surplusremoval.title,Alchemy Lab Ingredients
alchemylab.alchemy,Alchemy
alchemylab.boost,Boost
alchemylab.boost.confirmation,Buying this boost gives [#!]{0}[#] extra Alkashards. Would you like to complete this transaction?
alchemylab.boost.get_more_alkashards#1,Get [#!]{0}[#] extra [#!]Alkashard[#]!
alchemylab.boost.get_more_alkashards#2,Get [#!]{0}[#] extra [#!]Alkashards[#]!
alchemylab.boost.get_more_alkashards#3,Get [#!]{0}[#] extra [#!]Alkashards[#]! (THIRD FORM)
alchemylab.boosted,Boosted!
alchemylab.cancel.really,"You are about to [#!]permanently destroy Epic items[#]! You will [#!]not[#] get any of the used resources or items back!

Are you absolutely sure?"
alchemylab.cancel.title,Stop transmuting?
alchemylab.choose.text,Tap Items To Add Ingredients
alchemylab.chosen.text,Selected ingredients
alchemylab.craft.button,Transmute
alchemylab.description.transmuting,Transmuting: {0}
alchemylab.description.transmuting.max,Transmuting: {0} (max)
alchemylab.extra,Extra!
alchemylab.migration.info.body,"Alchemy Lab has received an update! In order to accommodate the changes, actions that were in progress have been automatically completed and queued actions refunded. Results are in your inbox!"
alchemylab.migration.info.title,Alchemy Lab update
alchemylab.migration.refundmail.body,"Alchemy Lab has been updated! Your queued transmutations are refunded.

Here are the items and resources that you had in the queue."
alchemylab.migration.refundmail.title,Alchemy Lab transmutations refunded
alchemylab.migration.researchmail.body,Alchemy Lab has been updated! The research that you had in progress has been automatically finished and collected.
alchemylab.migration.researchmail.title,Alchemy Lab research finished
alchemylab.migration.resultmail.body,"Alchemy Lab has been updated! The transmutations that you had in progress have been automatically finished.

Here are the results for all your finished and unclaimed transmutations."
alchemylab.migration.resultmail.title,Alchemy Lab transmutations finished
alchemylab.ready,Transmutation finished!
alchemylab.researchingelsewhere,Wait for another research to finish to research this recipe.
alchemylab.showavailableingredients.button,Show all
alchemylab.showchoseningredients.button,Show selected
alchemylab.transmutation.cancel,"These items have already begun their transmutation. If you remove this transmutation from the queue, all the items and resources that you have spent will be [#!]permanently destroyed[#]!

Are you sure you want to destroy these items and resources?"
alchemylab.transmutationready.message,Transmutation results:
alchemylab.transmute.autofill,Autofill
alchemylab.transmute.button,Transmute
alchemylab.transmute.cauldron_full,Cauldron full!
alchemylab.transmute.confirmation.epic,"You are about to consume {0} [#!]Epic Ascension Material(s)[#] in this transmutation.

Are you sure?"
alchemylab.transmute.odds.title,Transmutation Rates
alchemylab.transmute.required_ingredients,Ingredients required:
alchemylab.transmutetime,Transmutation time: [#!]{0}[#]
alkashard.dialog.cost,Alkashards consumed:
alkashard.dialog.guide,Choose one of the following:
alkashard.dialog.info.message,"You get to choose one item from a random selection of items when you combine Alkashards.

The item selection stays the same until the Alkashards are combined."
alkashard.dialog.title,Combine Alkashards
alkashard.done.dialog.title,Combined from Alkashards!
alliance.activetitan,Active titan
alliance.activity,[#!]Activity:[#] [%115]{0}[%]
alliance.activity.description,Indicates the percentage of alliance members recently online.
alliance.activity.title,Alliance Activity
alliance.activity_entry,Activity:
alliance.alliances,Alliances
alliance.chat.joinrequest,Accept join request?
alliance.chat.joinrequest.accept,Accept
alliance.chat.joinrequest.accepted,[#00ff00]Accepted[#] by [#!]{0}[#]
alliance.chat.joinrequest.reject,Reject
alliance.chat.joinrequest.rejected,[#ff0000]Rejected[#] by [#!]{0}[#]
alliance.choose_banner,Alliance Banner
alliance.choose_description,Description
alliance.choose_flag,Pattern
alliance.choose_name,Alliance Name
alliance.choose_symbol,Symbol
alliance.choose_trophies,Required trophies
alliance.choose_type,Type
alliance.demote,Demote
alliance.error.alliance_not_found,The Alliance no longer exists.
alliance.error.already_in_alliance_other,The player has already joined an Alliance.
alliance.error.already_requested,You have already requested to join this Alliance.
alliance.error.banned,Your request to join the Alliance has been recently rejected.
alliance.error.block_edit_name,Alliance name and description temporarily disabled.
alliance.error.cant_attack_titan.message,"To be able to attack a Titan, you must have been a member of the Alliance before the Titan appeared.

You can attack the next Titan that appears for this Alliance."
alliance.error.cant_attack_titan.rare.message,"To be able to attack Rare Titans, you need to be in the Alliance for at least {0} days."
alliance.error.cant_attack_titan.title,Attacking not allowed
alliance.error.full,The Alliance is full.
alliance.error.hexmap.already_finished,Event already ended.
alliance.error.hexmap.attacker_in_battle,Attacker already in battle.
alliance.error.hexmap.chest.already_claimed,Chest already claimed.
alliance.error.hexmap.chest.not_enough_keys,You don't have enough keys to open the chest.
alliance.error.hexmap.chest.unknown,Chest not found.
alliance.error.hexmap.invalid_path,Invalid path selected.
alliance.error.hexmap.invalid_team,All Heroes in your team have been defeated.
alliance.error.hexmap.no_energy_left,You don't have enough energy.
alliance.error.hexmap.player.unknown,Player not found.
alliance.error.hexmap.target.dead,Enemy already defeated.
alliance.error.hexmap.target.unknown,Unknown enemy selected.
alliance.error.invite_only,This Alliance is invite-only. Please try again.
alliance.error.name.taken,The name you provided is already taken.
alliance.error.name.too_short,Alliance name must be at least {0} characters long.
alliance.error.not_enough_trophies,You don't have enough trophies to join this Alliance.
alliance.error.player_not_found,The player no longer exists.
alliance.error.text_validation,Alliance name or description not approved.
alliance.error.unknown,The Alliance no longer exists.
alliance.error.war.already_finished,War already finished.
alliance.error.war.attacker_in_battle,Can't attack. Please try again later.
alliance.error.war.defense.war_started,Can't update defense team. War has already started!
alliance.error.war.invalid_assist_dragon_count,Can't attack. Please try again later.
alliance.error.war.invalid_team,Your selected Attack Team is invalid.
alliance.error.war.no_attacks_left,Out of War Energy!
alliance.error.war.target.dead,Target is already defeated.
alliance.error.war.target.not_found,Valid target not found.
alliance.error.war.target.reserved,Target is already reserved.
alliance.error.war.target.under_attack,Target is already under attack.
alliance.error.war.target.unknown,Unknown target. Please try again later.
alliance.error.war_battle_conflict,An unexpected error occurred. We will investigate this issue and fix it as soon as possible.
alliance.event.alliance_gift.alliance_christmas_gift_offer,Winter gifts from [#!]{0}[#] have been sent! Everyone check your inbox!
alliance.event.alliance_gift.alliance_christmas_webstore_gift,Winter gifts from [#!]{0}[#] have been sent! Everyone check your inbox!
alliance.event.alliance_gift.alliance_valentines_webstore_gift,Happy Valentine's Day from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.alliancegiftoffer_gift,Gem shipments from [#!]{0}[#] have been sent! Everyone check your inbox!
alliance.event.alliance_gift.battle_item_alliancemember_gift,Battle Items from [#!]{0}[#] have been sent! Everyone check your inbox!
alliance.event.alliance_gift.com.smallgiantgames.empires.6th_birthday_gift_zynga,Greetings from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.default,Greetings from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.golden_week_alliancemember_gift_day1,Happy Golden Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.golden_week_alliancemember_gift_day2,Happy Golden Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.golden_week_alliancemember_gift_day3,Happy Golden Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.golden_week_alliancemember_gift_day4,Happy Golden Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.golden_week_alliancemember_gift_day5,Happy Golden Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.golden_week_alliancemember_gift_day6,Happy Golden Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.golden_week_alliancemember_gift_day7,Happy Golden Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.valentines2018_alliance_member_gift,Happy Valentine's Day from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.valentines2022_alliancemember_gift_1,Happy Valentine's Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.valentines2022_alliancemember_gift_2,Happy Valentine's Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.valentines2022_alliancemember_gift_3,Happy Valentine's Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.valentines2022_alliancemember_gift_4,Happy Valentine's Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.valentines2022_alliancemember_gift_5,Happy Valentine's Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.alliance_gift.valentines2022_alliancemember_gift_6,Happy Valentine's Week from [#!]{0}[#]! Everyone check your inbox!
alliance.event.demote,[#!]{1}[#] was demoted by [#!]{0}[#].
alliance.event.event_ended,The [#!]Alliance Quest[#] has ended.
alliance.event.event_ending,The [#!]Alliance Quest[#] ends in {0}!
alliance.event.event_started,The [#!]Alliance Quest[#] has started!
alliance.event.event_starting,The [#!]Alliance Quest[#] starts in {0}!
alliance.event.hexmap_ended,The [#!]Monster Island Event[#] ended.
alliance.event.hexmap_ending,The [#!]Monster Island Event[#] ends in 24 hours!
alliance.event.hexmap_started,The [#!]Monster Island Event[#] started!
alliance.event.hexmap_starting,The [#!]Monster Island Event[#] starts in 24 hours!
