KEY,TEXT
account_deletion.cancel_request.button,削除をキャンセル
account_deletion.dialog.cancel_request.message,アカウント削除の手続きを[#ff362e]キャンセル[#]してもよろしいですか？
account_deletion.dialog.cancel_request.title,削除をキャンセル
account_deletion.dialog.cancelled.message,アカウント削除の手続きがキャンセルされました。
account_deletion.dialog.cancelled.title,削除がキャンセルされました
account_deletion.dialog.final_confirmation.player_name_and_id,"プレイヤー名：{0}
アカウントID：{1}"
account_deletion.dialog.final_confirmation.region,"お客様の所在地：{0} 

弊社は、現地の法律を遵守してお客様のリクエストを処理します。この所在地が間違っている場合、以下のリストの中から正しい場所をお選びください。"
account_deletion.dialog.final_confirmation.region_unknown,弊社は、現地の法律を遵守してお客様のリクエストを処理します。以下のリストの中から正しい場所をお選びください。
account_deletion.dialog.final_confirmation.remember_id,上記のアカウントIDは、アカウント削除に関して弊社にご連絡をされる際に必要となります。
account_deletion.dialog.final_confirmation.title,アカウント削除
account_deletion.dialog.give_reason.message,アカウントを削除する理由をお聞かせください。
account_deletion.dialog.give_reason.title,削除の理由
account_deletion.dialog.in_progress.message,"お客様のリクエストを受け付けました。速やかに処理を開始いたします。

ゲーム：Empires & Puzzles
アカウントID：{0}

この削除リクエストは、本日から7日間以内であればキャンセル可能です。"
account_deletion.dialog.in_progress.title,アカウント削除手続き中
account_deletion.dialog.restart_game.message,"このゲームでは、あなたの築く王国は、あなたと共に成長していくようになっているため、[#!]進行状況をリセットしても得られるメリットはありません[#]。『Empires & Puzzles』は、1つのアカウントのみでプレイすることを想定しています。ゲームをプレイすることで、役に立つ英雄やアイテムを入手できます。

[#!]このゲームにおいて「建ててはいけない」建物というものは存在しません[#]。ゲームを進めることで、利用可能な全種類の建物が解放されます。"
account_deletion.dialog.restart_game.title,ゲームを最初からやり直す
account_deletion.dialog.start_process.message,"削除リクエストを送信すると、お客様のアカウントおよびゲームプレイは[#!]即座に停止[#]されます。削除リクエストが完了すると、[#!]それを取り消すことはできません[#]。

[#!]お客様のゲームの進行状況[#]、および獲得または購入した仮想通貨および仮想アイテムはすべて失われます。弊社は、本ゲームに関する払い戻しや、保留中のサポートリクエストに関してお客様にご対応できなくなります。

既存のアカウントを削除せずに、そのアカウントでのお支払いを停止したい場合や、プレイを停止したい場合は、プレイヤーサポートにお問い合わせください。

このゲームアカウントを削除しても、現在有効なサブスクリプションはキャンセルされませんのでご注意ください。[#!]サブスクリプションのキャンセルは、サブスクリプションのプロバイダー[#] （Apple、Googleなど）経由で行う必要があります。

アカウントを削除した後、別の新規アカウントを作成して、ゲームを最初からやり直すことは可能です。"
account_deletion.dialog.start_process.title,このゲームアカウントを削除する前に、以下をお読みのうえご検討ください
account_deletion.reason_option.bugs_issues,バグや問題が多すぎる
account_deletion.reason_option.disagree_with_policy,利用規約やプライバシーポリシーに同意できない
account_deletion.reason_option.harassment_abuse,ハラスメントまたはいじめの問題
account_deletion.reason_option.no_longer_play,ゲームをプレイしなくなった
account_deletion.reason_option.other,その他
account_deletion.reason_option.restart_game,ゲームを最初からやり直したい
account_deletion.reason_option.select_reason,[理由を選択してください]
account_deletion.region_dropdown.other,その他（上記以外の理由）
account_deletion.region_dropdown.select_region,[地域を選択してください]
account_deletion.terms_checkbox,私は、このゲームアカウントの削除を希望します。私は、本ゲームにおけるすべての進行状況および取得済みの仮想アイテムを失うこと、および削除リクエストが完了すると削除を取り消せないということを理解しています。
accountswitch.cloud,クラウド
accountswitch.current,現行
accountswitch.keep,キープ
accountswitch.message,保存したい進捗データを選択できます。後ほど選択する場合はキャンセルを押してください。
accountswitch.replace_cloud,このデータを保存
accountswitch.replace_cloud.info,クラウドのアカウントを、現在のアカウントと入れ替える場合はリンクを認証してください。
accountswitch.replace_cloud.title,クラウドアカウント入れ替え
accountswitch.replace_current.info,現在のアカウントを、クラウドのアカウントと入れ替える場合はリンクを認証してください。
accountswitch.replace_current.title,現在のアカウント入れ替え
accountswitch.stronghold,城塞レベル
accountswitch.switch,ロード
accountswitch.title,アカウントを選択
accountswitch.trophies,トロフィー
accountswitch.xp,XP レベル
ads.disabled.popup.description,このビルドでは広告を表示できませんが、報酬を受け取ることはできます。
ads.disabled.popup.title,広告を表示できません
advanced_buildings.title#1,新たな上級建物が解放
advanced_buildings.title#2,新たな上級建物が解放
advanced_buildings.title#3,新たな上級建物が解放
aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄の攻撃力が{ATTACK}%になる。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerberserk.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄の攻撃力が{ATTACK}%になり（最大{MAXMODIFIER}%）、 {CHANGE}%の確率で攻撃を受けるたびに増加する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄の防御力が{DEFENSE}%になり（最大{MAXMODIFIER}%）、 {CHANGE}%の確率で攻撃を受けるたびに増加する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄がステータス異常から受けるダメージが{MULTIPLIER}%軽減される。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄の防御力が{DEFENSE}%になる。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff,"バトル開始時に、{TURNS}ターンの間、この英雄に付与されたステータス異常が各ターン終了時に浄化される。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄のHPが合計{TOTAL}ブーストされる。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄のHPが合計{TOTAL}ブーストされる。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerfixedmanarecovery.small.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄のマナが少量増加する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowergamble.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄の攻撃力が{ATTACK}%に、命中率が {ACCURACY}%になる。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerhealmultiplier.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄の回復量が{HEALING}%増加する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerlifesteal.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄が通常ダメージから受けたダメージの{LIFESTEAL}%を回復する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowermanagenerationmodifier.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄のマナ生成が {MANAREGEN}%になる。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowermummyreincarnation.single.allies,"バトル開始から5ターン以内にこの英雄が倒された場合、{ATTACK}%の攻撃力と{DEFENSE}%の防御力を持つミイラの状態で甦る。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerreceiveddamagemodifier.single.allies.decrease,"バトル開始時に、{TURNS}ターンの間、この英雄が受けるすべてのダメージが[#!]{DAMAGEREDUCTION}%[#]軽減される。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerreflectminordebuffstorandomenemy.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄が浄化可能なステータス異常を相手チームのランダムなキャラクターに跳ね返す。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerspecialdamagepowermodifier.single.allies,"{TURNS}ターンの間、各バトル開始時に、この英雄が特殊スキルによって与えるダメージが{POWER}%増加する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.aetherpowerspecialskilldefensemodifier.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄の特殊スキルに対する防御力が{SPECIALSKILLDEFENSE}%になる。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.block.single.allies,"各バトル開始時に、{TURNS}ターンの間、この英雄が受けたダメージを{BLOCKCHANCE}%の確率で1に減少させる。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.counterattack.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄が受けたダメージの{DEFLECTION}%で反撃する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.debuffshield.single.allies,"バトル開始時に、{TURNS}ターンの間、新たなステータス異常を無効化する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.dodgespecialdamage.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄が{DODGE}%の確率でダメージ付きの特殊スキルを回避する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.reflectdebuffdamage.single.allies.targets.all,"バトル開始時に、{TURNS}ターンの間、この英雄がステータス異常から受けたすべてのダメージの{DEFLECTION}%を敵全員に跳ね返す。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.reflectminordebuffs.single.allies.randomenemy,"バトル開始時に、{TURNS}ターンの間、この英雄が浄化可能なステータス異常を相手チームのランダムなキャラクターに跳ね返す。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.resistnewparasites.single.allies,"バトル開始時に、{TURNS}ターンの間、新たなフィエンドを無効化する。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.revive.aetherrevive.single.allies,"この英雄が最初の{TURNS}ターン以内に倒れた場合、次のターン開始時に、{HEALTH}%のライフを保有した状態で復活する。すべてのステータス効果と累積効果は、英雄が倒れた時に解除される。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
aetherpower.statuseffect.minor.taunt.single.allies,"バトル開始時に、{TURNS}ターンの間、この英雄が挑発の効果を獲得し、敵が自らの仲間に特殊スキルを使用するのを防ぐ。

バトルが複数のウェーブで構成されている場合、この効果は各ウェーブ開始時にリセットされる。"
